NO	FILE	COMPARISON	ADJ_LEMMA	CORPUS	YEAR	VARIETY	NEWSPAPER	WORD_COUNT	FORM	ADJ_LEN	READABILITY	LEXDIV	STRESS_LAST_SYLL	PERSIST_COMP	PERSIST_FORM	PERSIST_DIST	SYNT_FUN	ADVMOD	COMPL	ZIPF_FREQ	DPNOFREQ	RHY_SCORE_POS	RHY_SCORE_ALT_POS	SEG_SCORE	SEG_SCORE_ALT	FINAL_SEGMENT
170226	4704243	analytic	popular	SAVE2020	2020	LK	Daily Mirror	1251	superlative	7	-152,5205294	18,20800344	n	synthetic	superlative	1101	a	n	n	5,122240758	0,10242213	0,2	0,183333333	0,1875	0,1875	0,75
219883	41852460	synthetic	old	NOW2020	2020	BrE	Daily Mail	1803	comparative	3	668,1639025	35,74517789	y	none	none	none	a	n	n	5,948416439	0,038079351	0	0,2	0,187789988	0,16031746	0,416666667
234294	41839006	analytic	effective	NOW2020	2020	BrE	Daily Mail	1611	comparative	9	5,644551768	29,5576557	n	synthetic	comparative	270	p	n	n	4,836347935	0,015215519	0	0	0,187878788	0,115740741	0
234159	41821633	analytic	aggressive	NOW2020	2020	BrE	Independent	732	superlative	10	161,3028622	24,37418484	n	none	none	none	a	n	n	4,404549659	0,008633863	0	0	0,189697802	0,181707182	0,25
170169	4703328	analytic	measurable	SAVE2020	2020	LK	Daily Mirror	330	comparative	10	-90,58449528	22,67090607	n	none	none	none	a	y	n	3,278177985	0,002037903	0	0	0,19047619	0,15	0,875
217736	41690353	synthetic	low	NOW2020	2020	BrE	Independent	2979	comparative	3	1896,419682	-64,70857825	y	synthetic	comparative	2453	a	n	n	5,368592578	0,020965242	0	0,333333333	0,190909091	0,174242424	0
217180	41643560	synthetic	good	NOW2020	2020	BrE	Daily Mail	953	superlative	4	773,2913155	27,69819827	y	none	none	none	a	n	n	6,239948832	0,031269529	0,333333333	0,5	0,190909091	0,222527473	0,5
150731	4703675	synthetic	smooth	SAVE2020	2020	LK	Daily Mirror	525	comparative	6	-36,636337	-61,22840469	y	synthetic	superlative	1015	a	n	n	4,408511754	0,024963041	0,0625	0,25	0,192379776	0,208695652	0,125
151246	4704898	synthetic	good	SAVE2020	2020	LK	Daily Mirror	1702	superlative	4	-116,9448209	30,25116264	y	analytic	comparative	3	a	n	n	6,377398081	0,189114879	0	0	0,198717949	0,225	0,5
151805	4706482	synthetic	good	SAVE2020	2020	LK	Daily Mirror	255	superlative	4	-363,7312424	4,483996436	y	none	none	none	a	n	n	6,377398081	0,189114879	0	0	0,198717949	0,225	0,5
157272	4721768	synthetic	easy	SAVE2020	2020	LK	Daily News	886	superlative	4	-216,59057	32,19125832	n	synthetic	superlative	725	a	n	n	5,158038131	0,080148615	0	0	0,2	0,090909091	0
170360	4705539	analytic	intent	SAVE2020	2020	LK	Daily Mirror	1180	comparative	6	-106,4884557	-5,321983691	n	analytic	comparative	1383	p	n	p	3,991388429	0,009560573	0	0	0,2	0,222222222	0,5
170276	4704826	analytic	relevant	SAVE2020	2020	LK	Daily Mirror	1083	comparative	8	-85,57405884	27,5466423	n	synthetic	comparative	354	a	n	n	5,121203016	0,107831959	0	0	0,2	0,142857143	0,666666667
234345	41850335	analytic	sustainable	NOW2020	2020	BrE	Daily Mail	2276	comparative	11	24,42951381	46,20837384	n	synthetic	superlative	4392	p	n	n	4,385351197	0,010316787	0	0	0,2	0,153846154	0,875
219553	41821633	synthetic	bad	NOW2020	2020	BrE	Independent	732	comparative	3	161,3028622	24,37418484	y	analytic	comparative	685	a	n	n	5,516320629	0,020089946	0	0	0,2	0,230769231	0,375
157734	4723984	synthetic	good	SAVE2020	2020	LK	Daily News	878	comparative	4	-427,9963113	50,83846667	y	analytic	comparative	413	p	n	n	6,377398081	0,189114879	0	0	0,2	0,272727273	0,25
158046	4725347	synthetic	large	SAVE2020	2020	LK	Daily News	522	superlative	5	-241,3590491	25,69490921	y	synthetic	comparative	671	a	n	n	5,737067526	0,156390238	0	0	0,2	0,272727273	0,583333333
156910	4719744	synthetic	big	SAVE2020	2020	LK	Daily News	846	superlative	3	-305,6401525	-17,4049895	y	synthetic	superlative	1004	a	y	n	5,491695742	0,13376488	0	0,225	0,2	0,238095238	0,25
157728	4723984	synthetic	old	SAVE2020	2020	LK	Daily News	878	comparative	3	-427,9963113	50,83846667	y	synthetic	superlative	1954	a	n	n	5,59344842	0,178559392	0	0,333333333	0,2	0,272727273	0,416666667
156921	4719771	synthetic	big	SAVE2020	2020	LK	Daily News	1194	superlative	3	-350,6461925	32,0032734	y	synthetic	superlative	363	a	n	n	5,491695742	0,13376488	0	0,5	0,2	0,272727273	0,25
150865	4704091	synthetic	great	SAVE2020	2020	LK	Daily Mirror	1088	comparative	5	-221,2344296	17,50568542	y	analytic	comparative	17	a	n	n	5,707122275	0,175034119	0	0,5	0,2	0,3	0,25
157733	4723984	synthetic	great	SAVE2020	2020	LK	Daily News	878	comparative	5	-427,9963113	50,83846667	y	synthetic	comparative	190	a	n	n	5,707122275	0,175034119	0	0,5	0,2	0,3	0,25
156911	4719744	synthetic	great	SAVE2020	2020	LK	Daily News	846	comparative	5	-305,6401525	-17,4049895	y	synthetic	superlative	809	a	n	n	5,707122275	0,175034119	0	0,5	0,2	0,3	0,25
157983	4724901	synthetic	good	SAVE2020	2020	LK	Daily News	1535	superlative	4	-187,4945097	-20,34857704	y	none	none	none	a	n	n	6,377398081	0,189114879	0,333333333	0,333333333	0,2	0,230769231	0,5
233414	41733138	analytic	urgent	NOW2020	2020	BrE	Independent	412	superlative	6	-178,4383068	29,91862501	n	synthetic	comparative	518	p	n	n	4,504733851	0,009115417	0	0	0,2003663	0,307997558	0,833333333
217183	41643560	synthetic	big	NOW2020	2020	BrE	Daily Mail	953	comparative	3	773,2913155	27,69819827	y	synthetic	superlative	1227	a	n	n	5,940835046	0,032082043	0	0,333333333	0,202020202	0,264957265	0
218662	41746420	synthetic	late	NOW2020	2020	BrE	Daily Mail	450	superlative	4	3544,000782	23,34143568	y	none	none	none	a	n	n	5,916902274	0,02429752	0	0,333333333	0,202020202	0,264957265	0,5
219789	41850335	synthetic	late	NOW2020	2020	BrE	Daily Mail	2276	superlative	4	24,42951381	46,20837384	y	none	none	none	a	n	n	5,916902274	0,02429752	0	0,333333333	0,202020202	0,264957265	0,5
